,time_period,index,Rank_F6M
0,2002_1,2002_1_w4u2nu2c,246
1,2002_1,2002_1_rhsrmfwd,150
2,2002_1,2002_1_35pkv5ta,212
3,2002_1,2002_1_0h249cd2,169
4,2002_1,2002_1_dj5a9myf,225
5,2002_1,2002_1_sics4eoi,184
6,2002_1,2002_1_r09kym3q,55
7,2002_1,2002_1_puj68tx7,331
8,2002_1,2002_1_anzf1pqr,357
9,2002_1,2002_1_ctq9bf3n,160
10,2002_1,2002_1_nhnky5dw,204
11,2002_1,2002_1_gvjn99k9,54
12,2002_1,2002_1_48gr2qqz,53
13,2002_1,2002_1_26zl99q8,122
14,2002_1,2002_1_y4jpv058,335
15,2002_1,2002_1_bmj5pyr2,338
16,2002_1,2002_1_bey888qg,151
17,2002_1,2002_1_66rt3kk1,133
18,2002_1,2002_1_jylqq356,342
19,2002_1,2002_1_mb4bbkro,353
20,2002_1,2002_1_akzqvhtj,173
21,2002_1,2002_1_xuqzcmg6,227
22,2002_1,2002_1_6exl9g8r,205
23,2002_1,2002_1_nfgewm0q,269
24,2002_1,2002_1_lrku7ba5,72
25,2002_1,2002_1_qiz328wk,303
26,2002_1,2002_1_i3byayt5,136
27,2002_1,2002_1_ix7dtkci,158
28,2002_1,2002_1_ybsk63km,201
29,2002_1,2002_1_2jjm3qul,347
30,2002_1,2002_1_898xs8mc,190
31,2002_1,2002_1_aa4hb0cp,361
32,2002_1,2002_1_yxiqeklj,232
33,2002_1,2002_1_rjhevkn0,118
34,2002_1,2002_1_lfebmrax,154
35,2002_1,2002_1_ibw3y03x,117
36,2002_1,2002_1_uqxcby89,58
37,2002_1,2002_1_al394i7q,265
38,2002_1,2002_1_qyqn8cz0,106
39,2002_1,2002_1_wl6prwu7,315
40,2002_1,2002_1_3avq5rlt,231
41,2002_1,2002_1_1a04o8hg,257
42,2002_1,2002_1_bms3p9f2,52
43,2002_1,2002_1_4tbxobt3,252
44,2002_1,2002_1_rlpacxpj,185
45,2002_1,2002_1_juj8v3bd,363
46,2002_1,2002_1_8ndu1gzw,51
47,2002_1,2002_1_tql84leh,247
48,2002_1,2002_1_x2f5uld3,364
49,2002_1,2002_1_kebshzn8,258
50,2002_1,2002_1_5wxeyxlt,50
51,2002_1,2002_1_kqz7de21,354
52,2002_1,2002_1_mzrk5sg0,49
53,2002_1,2002_1_gj40grga,179
54,2002_1,2002_1_86mbcmki,307
55,2002_1,2002_1_yh26t0ul,259
56,2002_1,2002_1_a7gylt7e,228
57,2002_1,2002_1_tfrpjpep,48
58,2002_1,2002_1_i9z0uyxs,243
59,2002_1,2002_1_eqhebr2f,165
60,2002_1,2002_1_vx82dkt2,186
61,2002_1,2002_1_ct9e5mfm,284
62,2002_1,2002_1_3gvsvvld,304
63,2002_1,2002_1_a7ovmgds,206
64,2002_1,2002_1_cd1rk2m2,159
65,2002_1,2002_1_7qve8p3l,349
66,2002_1,2002_1_dkumhoaa,318
67,2002_1,2002_1_6kp0ewg5,90
68,2002_1,2002_1_loi5s4wz,114
69,2002_1,2002_1_w9c9nu9m,240
70,2002_1,2002_1_4moa9s7d,105
71,2002_1,2002_1_yp6wnzlc,163
72,2002_1,2002_1_pmfuj6eb,143
73,2002_1,2002_1_quomieyz,111
74,2002_1,2002_1_0xtj0lyt,191
75,2002_1,2002_1_uhyw7oym,91
76,2002_1,2002_1_j2zdjsu7,350
77,2002_1,2002_1_rgggeqzi,355
78,2002_1,2002_1_6n5pawrg,97
79,2002_1,2002_1_gs7qwnhq,157
80,2002_1,2002_1_hhpnxcz6,295
81,2002_1,2002_1_svg58x3u,123
82,2002_1,2002_1_tjbiz5we,161
83,2002_1,2002_1_350x3g9k,202
84,2002_1,2002_1_yb4w3smp,98
85,2002_1,2002_1_docmtcew,371
86,2002_1,2002_1_ypmw304u,92
87,2002_1,2002_1_c31hl7u6,80
88,2002_1,2002_1_e2sj33s8,155
89,2002_1,2002_1_ztomp558,275
90,2002_1,2002_1_cm7a1jqr,69
91,2002_1,2002_1_m5co4uvu,47
92,2002_1,2002_1_t2qqiwds,46
93,2002_1,2002_1_xvhu52vh,45
94,2002_1,2002_1_8k1eeftr,305
95,2002_1,2002_1_ksnuds85,44
96,2002_1,2002_1_hdm0hs42,43
97,2002_1,2002_1_wvimjo6y,138
98,2002_1,2002_1_4slrk1ll,196
99,2002_1,2002_1_pknpyt4n,137
100,2002_1,2002_1_mamlqqr9,64
101,2002_1,2002_1_i1h4sz8p,286
102,2002_1,2002_1_z42wcpxw,343
103,2002_1,2002_1_mfyau3r2,325
104,2002_1,2002_1_qxgzc3pr,74
105,2002_1,2002_1_n3bvg3pr,172
106,2002_1,2002_1_89ooow3u,197
107,2002_1,2002_1_vjunn8pq,229
108,2002_1,2002_1_8qnbkhfm,119
109,2002_1,2002_1_3g692s1k,42
110,2002_1,2002_1_09whfb4a,120
111,2002_1,2002_1_f8riexro,292
112,2002_1,2002_1_p0vfw7xo,156
113,2002_1,2002_1_89iyu87q,301
114,2002_1,2002_1_9nlnpmb2,238
115,2002_1,2002_1_n8x80973,104
116,2002_1,2002_1_vl28lwbi,41
117,2002_1,2002_1_g3vkcq8c,268
118,2002_1,2002_1_pffbdbgx,65
119,2002_1,2002_1_rj187sis,75
120,2002_1,2002_1_bb3lnl4l,339
121,2002_1,2002_1_rrcl7kvh,320
122,2002_1,2002_1_6aahu85b,242
123,2002_1,2002_1_dhbddxzm,87
124,2002_1,2002_1_xcre26nt,40
125,2002_1,2002_1_hmv045mi,332
126,2002_1,2002_1_lf9dkers,86
127,2002_1,2002_1_428oc8xw,100
128,2002_1,2002_1_v69754v5,279
129,2002_1,2002_1_yfm8myxs,128
130,2002_1,2002_1_nvhfzlw8,274
131,2002_1,2002_1_dqoi7jnz,330
132,2002_1,2002_1_zd3089g7,39
133,2002_1,2002_1_dy98gjri,341
134,2002_1,2002_1_hkpx5usj,267
135,2002_1,2002_1_2wv4nlwu,38
136,2002_1,2002_1_xmjkstz1,288
137,2002_1,2002_1_xv6evdxi,81
138,2002_1,2002_1_mspf3jjc,220
139,2002_1,2002_1_vdmr9i5z,182
140,2002_1,2002_1_ge7w0ilh,358
141,2002_1,2002_1_qpoldt5o,322
142,2002_1,2002_1_ex4wq9ew,37
143,2002_1,2002_1_8k61wlat,362
144,2002_1,2002_1_2d0uevoq,36
145,2002_1,2002_1_itua0lrz,365
146,2002_1,2002_1_8t2kc6ws,35
147,2002_1,2002_1_485eotms,280
148,2002_1,2002_1_x3s0ya0v,168
149,2002_1,2002_1_19q95xi0,369
150,2002_1,2002_1_5hdr20lc,336
151,2002_1,2002_1_84rdcx0u,230
152,2002_1,2002_1_yzx8vpwq,34
153,2002_1,2002_1_ycvljeft,33
154,2002_1,2002_1_nw6ewter,145
155,2002_1,2002_1_pav4r6s8,176
156,2002_1,2002_1_u6y8aoxf,32
157,2002_1,2002_1_cladxu3e,281
158,2002_1,2002_1_xs0wd739,83
159,2002_1,2002_1_d85n7mbc,194
160,2002_1,2002_1_16743ziz,181
161,2002_1,2002_1_670aud0o,321
162,2002_1,2002_1_k6hvmovs,244
163,2002_1,2002_1_m03bx2sd,130
164,2002_1,2002_1_zgsllyxy,306
165,2002_1,2002_1_6fweg6mj,62
166,2002_1,2002_1_pkvi5vrf,376
